,id,price,rating
0,5b538f7e2b9844002ca8dde6,2,8.2
1,4aa2e52ef964a520824220e3,0,8.6
2,4abc357af964a520c98620e3,3,8.0
3,4af5ed48f964a520eafe21e3,1,7.4
4,4b774cc8f964a52019902ee3,0,7.9
5,4a807f76f964a52079f51fe3,2,7.2
6,5b5203ed838e59002c9f0ef0,1,7.2
7,5aca858b9de23b39a4ed4b89,1,7.5
8,4b318417f964a5204a0825e3,2,7.1
9,4b452af9f964a520d30626e3,2,7.0
10,56b3bd2b498e33f2ef2fc8d1,1,7.0
11,5480aff1498e4f169e518d70,0,7.2
12,4c363afd18e72d7f2f7814f5,2,6.9
13,4bc7ba0daf07a59375d37f2d,1,7.1
14,4b5e1208f964a520f77b29e3,0,6.5
15,50fafaa7e4b03e4ea5b8e495,0,0.0
16,51574576e4b0d2c6fa000ad9,0,0.0
17,4baec335f964a520e2d53be3,0,0.0
18,56f9f766498e4e8a7b51dbdd,1,7.7
19,4b22ae44f964a520b04b24e3,2,7.7
20,5a7f5f72a0215b7aa2b79ede,0,7.3
21,4d23eac6cc84721e5ab064f6,0,6.6
22,4cd763b1dfb4a1cd1559645c,1,6.3
23,4b249d88f964a520036924e3,0,6.2
24,4aa806a7f964a520d34e20e3,2,5.9
25,4be5bb9dbcef2d7ff33a04e5,0,0.0
26,4fd390eee4b0d45a955efd51,0,0.0
27,5417aed9498ee66fc3510e80,2,8.9
28,58f26e8135f983278e92a006,0,8.1
29,4b44eacdf964a520b2ff25e3,1,8.3
30,55f61ec1498e9142700cbd20,1,8.3
31,59851f573af98813d405dc50,0,7.3
32,550794d8498ead04355c60a7,0,8.1
33,4b450313f964a520440126e3,1,7.5
34,4be5d449910020a11790d314,0,7.6
35,56997d6b498e336a786567c8,1,7.5
36,587ade875a5869013de365a5,1,7.3
37,5d14ff1a33b320002317e054,1,7.4
38,568706ca498e1d0103354478,0,7.0
39,4bd8fde8e914a593dd6a55fa,1,6.7
40,4cfefcbe66ee9eb0aa1da74e,0,6.8
41,4ae12175f964a520658521e3,1,6.4
42,4b397b1cf964a520165d25e3,1,6.6
43,4bc8aa3d6501c9b6b8a04029,0,6.5
44,4b215ac3f964a5209a3a24e3,0,6.4
45,4a1903c5f964a5200c7a1fe3,0,6.3
46,54308969498efe7960bd8c17,0,6.4
47,4ad13480f964a5207ddd20e3,0,6.5
48,4b0f02b3f964a5201e5e23e3,1,5.9
49,5635281b498ef830806683b4,1,5.8
50,4a804f0ef964a520ecf41fe3,0,5.8
51,4af7196ef964a520d00522e3,1,0.0
52,4cd5d56f94848cfaa638e9b1,0,0.0
53,4bbcb18b593fef3be0760256,0,0.0
54,4bc38b1cdce4eee18ca6719d,0,5.3
55,50ad5e12e4b0211a30843234,0,0.0
56,4ca8eb8eb7106dcba49677a5,0,0.0
57,4e8e8dc59a5297144cae2fc0,0,0.0
58,4c9fa0e503133704ba0274d5,0,0.0
59,4a496488f964a52046ab1fe3,1,8.2
60,5595fc70498e8f6699fe1e2f,1,7.8
61,47ea2c2ef964a520634e1fe3,2,8.8
62,4c94358d58d4b60c04e72629,1,7.3
63,4adf7cb9f964a5200b7b21e3,0,7.6
64,4be2f8cef07b0f47f7b4f643,0,7.2
65,4b1f05f7f964a520f82224e3,1,6.6
66,4b08917ff964a5209b0e23e3,0,6.1
67,4b154d34f964a5209eaa23e3,1,5.9
68,4b9e9369f964a52098f036e3,1,6.0
69,4af6210bf964a520830122e3,1,5.7
70,4b2d2a47f964a520f4cf24e3,1,0.0
71,4bbfb446f8219c74b777b010,1,0.0
72,548c8781498ed1c276634ca7,2,9.1
73,4afaf210f964a520c21922e3,0,8.8
74,49cbd237f964a5201e591fe3,1,8.7
75,5806c1e738fabbc412832c02,4,8.7
76,4af9c4cff964a520111422e3,0,8.6
77,4dcdebdb22718eed7a2c19ca,2,8.4
78,55ab20e8498e3d4419261165,3,8.4
79,49b754c5f964a52027531fe3,2,8.3
80,55031470498ec8482e8f54a3,1,8.2
81,53bf3c17498e57909256d76a,2,8.1
82,55ab2170498e8f5cfe2ba359,1,8.1
83,4283ee00f964a520b2221fe3,2,8.1
84,57d99869498e09b284307f9d,1,8.6
85,4b43cf7df964a520aeea25e3,0,7.9
86,5111d0ede4b0f75ecf79fb9f,0,7.9
87,5427817f498e51a58d58d9c9,0,7.8
88,47109058f964a520944b1fe3,1,8.1
89,4bb38ba5eb3e9521c549cb0a,1,7.7
90,4f63f17be4b0fd165c5b8e27,2,7.7
